"starting_lang","lang_switch","cs","word_order","condition","mlwo","mlwo_condition","cwh","cwh_condition","sentence_id","sentence","total_surprisal","word_no","word","tokenized_word","word_surprisal"
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","notCWH","CS_notCWH",2,"The niece peels an amarilla zanahoria en el lavabo.",83.27889377,2," niece"," niece",13.097522
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","notCWH","CS_notCWH",2,"The niece peels an amarilla zanahoria en el lavabo.",83.27889377,3," peels"," pe_els",13.5782611
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","notCWH","CS_notCWH",2,"The niece peels an amarilla zanahoria en el lavabo.",83.27889377,4," an"," an",3.8469377
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","notCWH","CS_notCWH",2,"The niece peels an amarilla zanahoria en el lavabo.",83.27889377,5," amarilla"," am_ar_illa",19.9461036
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","notCWH","CS_notCWH",2,"The niece peels an amarilla zanahoria en el lavabo.",83.27889377,6," zanahoria"," z_an_ah_oria",12.91196978
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","notCWH","CS_notCWH",2,"The niece peels an amarilla zanahoria en el lavabo.",83.27889377,7," en"," en",10.51506
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","notCWH","CS_notCWH",2,"The niece peels an amarilla zanahoria en el lavabo.",83.27889377,8," el"," el",2.4643254
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","notCWH","CS_notCWH",2,"The niece peels an amarilla zanahoria en el lavabo.",83.27889377,9," lavabo"," lav_abo_.",6.9187142
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","notCWH","CS_notCWH",6,"A doctor drinks the rojo vino en la acogida.",81.28001455,2," doctor"," doctor",9.285465
"English","English --> Spanish","CS","AdjN","CS_AdjN","MLWO","CS_MLWO","notCWH","CS_notCWH",6,"A doctor drinks the rojo vino en la acogida.",81.28001455,3," drinks"," drinks",12.111958
